stop_id,stop_name,stop_lat,stop_lon,zone_id
"at:43:7110:0:1","Piesting Harzwerk","47.8764495559384","16.1361140573828",""
"at:43:7112:0:1","Winzendorf Bahnhof","47.8110701773051","16.1115631006644",""
"at:43:7112:0:2","Winzendorf Bahnhof","47.810991749769","16.1118864941668",""
"at:43:7112:0:3","Winzendorf Bahnhof","47.8109736510901","16.1119763256952",""
"at:43:7112:0:4","Winzendorf Bahnhof","47.8110762101876","16.1115361512059",""
"at:43:7113:0:1","Urschendorf Bahnhof","47.7973737275949","16.0898238707857",""
"at:43:7114:0:1","Willendorf Bahnhof","47.7892084431052","16.0605387925193",""
"at:43:7114:0:2","Willendorf Bahnhof","47.7892325847877","16.0605118430608",""
"at:43:7114:0:3","Willendorf Bahnhof","47.7887256071003","16.0596494603879",""
"at:43:7114:0:4","Willendorf Bahnhof","47.788677323253","16.0596674266936",""
"at:43:7115:0:1","Unterhöflein Bahnhof","47.79058450111","16.0331132268914",""
"at:43:7116:0:1","Grünbach/Schneeberg Bahnhof","47.7975185547631","15.9978723182904",""
"at:43:7116:0:2","Grünbach/Schneeberg Bahnhof","47.7974883824697","15.9978363856791",""
"at:43:7117:0:1","Grünbach/Schneeberg Schule","47.8014830417037","15.9815409464229",""
"at:43:7118:0:1","Grünbach/Schneeberg Kohlenwerk","47.7982306158013","15.9718660908116",""
"at:43:7119:0:1","Rothengrub Bahnhof","47.7892024076828","16.0510795325763",""
"at:43:7120:0:1","Puchberg am Schneeberg Bahnhof","47.7904577604487","15.9108974324699",""
"at:43:7120:0:2","Puchberg am Schneeberg Bahnhof","47.7903310194783","15.9112298091251",""
"at:43:7161:0:3","Hötzelsdorf-Geras Bahnhof","48.7423966766624","15.6702926667378",""
"at:43:7162:0:1","Irnfritz Bahnhof","48.7484446150944","15.5395518602689",""
"at:43:7162:0:3","Irnfritz Bahnhof","48.7484742310235","15.5395518602689",""
"at:43:7163:0:1","Göpfritz","48.7297416324861","15.394608689156",""
"at:43:7163:0:4","Göpfritz","48.7297771848247","15.3945997060032",""
"at:43:7164:0:3","Allentsteig Bahnhof","48.7156135139718","15.3304779610138",""
"at:43:7165:0:1","Schwarzenau Bahnhof","48.7461641361324","15.2671916492388",""
