origin_stop_id,reachable_stop_id,walking_time
at:47:50003:0,at:47:50002:0,0 days 00:02:18.566786400
at:47:50003:0,at:47:50004:0,0 days 00:04:32.164446
at:47:50004:0,at:47:50001:0,0 days 00:04:59.316474
at:47:50004:0,at:47:50002:0,0 days 00:03:22.828381200
at:47:50004:0,at:47:50003:0,0 days 00:04:32.164446
at:47:50004:0,at:47:50005:0,0 days 00:02:16.083488399
at:47:50005:0,at:47:50001:0,0 days 00:04:28.657376400
at:47:50005:0,at:47:50004:0,0 days 00:02:16.083488399
at:47:50005:0,at:47:50006:0,0 days 00:04:36.903151200
at:47:50006:0,at:47:50005:0,0 days 00:04:36.903151200
at:47:50006:0,at:47:50007:0,0 days 00:04:18.009073199
at:47:50007:0,at:47:50006:0,0 days 00:04:18.009073199
at:47:50007:0,at:47:50008:0,0 days 00:04:54.047035200
at:47:50008:0,at:47:50007:0,0 days 00:04:54.047035200
at:47:50008:0,at:47:64125:0,0 days 00:04:03.424929600
at:47:50009:0,at:47:50010:0,0 days 00:02:33.478695600
at:47:50009:0,at:47:64125:0,0 days 00:03:14.364151200
at:47:50009:0,at:47:64126:0,0 days 00:02:27.516134400
at:47:50009:0,at:47:64127:0,0 days 00:04:19.425878400
at:47:50010:0,at:47:50009:0,0 days 00:02:33.478695600
at:47:50010:0,at:47:64125:0,0 days 00:04:59.206987200
at:47:50010:0,at:47:64126:0,0 days 00:03:15.660223200
at:47:50010:0,at:47:64127:0,0 days 00:02:18.458336400
at:47:50013:0,at:47:50014:0,0 days 00:03:29.310098400
at:47:50014:0,at:47:50013:0,0 days 00:03:29.310098400
at:47:50014:0,at:47:50015:0,0 days 00:03:42.833322
at:47:50015:0,at:47:50014:0,0 days 00:03:42.833322
at:47:50016:0,at:47:50017:0,0 days 00:03:13.266496800
at:47:50017:0,at:47:50016:0,0 days 00:03:13.266496800
at:47:50017:0,at:47:50018:0,0 days 00:04:01.055798399
at:47:50018:0,at:47:50017:0,0 days 00:04:01.055798399
at:47:50018:0,at:47:64123:0,0 days 00:04:44.625781200
at:47:50019:0,at:47:50020:0,0 days 00:03:54.404341200
at:47:50020:0,at:47:50019:0,0 days 00:03:54.404341200
at:47:50020:0,at:47:50021:0,0 days 00:03:26.315010
at:47:50021:0,at:47:50020:0,0 days 00:03:26.315010
at:47:50021:0,at:47:50022:0,0 days 00:02:25.307577600
at:47:50022:0,at:47:50021:0,0 days 00:02:25.307577600
at:47:50022:0,at:47:64105:0,0 days 00:03:18.965919600
at:47:50022:0,at:47:64106:0,0 days 00:04:01.958901600
at:47:50023:0,at:47:50024:0,0 days 00:02:24.569440800
at:47:50024:0,at:47:50023:0,0 days 00:02:24.569440800
at:47:50024:0,at:47:50025:0,0 days 00:03:39.644542800
at:47:50024:0,at:47:64262:0,0 days 00:04:00.193360800
at:47:50025:0,at:47:50024:0,0 days 00:03:39.644542800
at:47:50025:0,at:47:50026:0,0 days 00:04:37.124436
at:47:50025:0,at:47:64262:0,0 days 00:03:45.065606400
at:47:50026:0,at:47:50025:0,0 days 00:04:37.124436
at:47:50026:0,at:47:50027:0,0 days 00:02:18.118557600
at:47:50027:0,at:47:50026:0,0 days 00:02:18.118557600
at:47:50027:0,at:47:50028:0,0 days 00:03:39.056234400
at:47:50028:0,at:47:50027:0,0 days 00:03:39.056234400
at:47:50029:0,at:47:50030:0,0 days 00:02:07.672164
at:47:50030:0,at:47:50029:0,0 days 00:02:07.672164
at:47:50031:0,at:47:50032:0,0 days 00:03:01.332036
at:47:50032:0,at:47:50031:0,0 days 00:03:01.332036
at:47:50033:0,at:47:50078:0,0 days 00:01:25.565883600
at:47:50033:0,at:47:64962:0,0 days 00:04:27.559088400
at:47:50035:0,at:47:68392:0,0 days 00:03:47.141647199
at:47:50036:0,at:47:64964:0,0 days 00:03:50.708145599
at:47:50036:0,at:47:64965:0,0 days 00:04:55.759677600
